,num_beds,num_baths,size_sqft,lat,lng,price,depreciation,bungalow,condo,corner,hdb,landed,protected,terraced house,walk-up,encoded_tenure,encoded_furnishing,dist_2_nearest_cc,nearest_cc_count,dist_2_nearest_mrt,nearest_mrt_count,dist_2_nearest_ps,nearest_ps_count,dist_2_nearest_ss,nearest_ss_count,dist_2_nearest_sm,nearest_sm_count
0,3.0,2.0,-0.05459339515637795,1.41439935,103.83719568172816,514500.0,34.0,0,0,0,1,0,0,0,0,0,0.0,1.3342098515426302,0,-0.3877159445766702,0,-0.8674279099866317,1,-1.0380117304851388,1,-0.32953136326057625,0
1,4.0,2.0,-0.020627755875103775,1.3725968000000002,103.87562460126242,995400.0,30.0,0,0,0,1,0,0,0,0,0,0.0,0.45260260973921157,0,1.700756531295308,0,-1.1523388620974904,1,-0.8631833111055653,1,-0.4577283324177892,0
2,4.0,6.0,0.08976057178903729,1.2987726,103.895798,8485000.0,0.0,0,1,0,0,0,0,0,0,1,0.5,0.2352586685902361,0,0.9553879062858263,0,0.27780238771387816,0,0.11456081209131032,0,0.05317429466463314,0
3,3.0,2.0,-0.06618601551976935,1.3123637,103.80327091227252,2626000.0,0.0,0,1,0,0,0,0,0,0,1,0.5,-0.29634014850574186,0,-0.11405403394516957,0,0.6483728417665636,0,0.4593613058676921,0,0.20965000701829034,0
4,2.0,1.0,-0.08287348177535188,1.2739587,103.84363531310518,1764000.0,0.0,0,1,0,0,0,0,0,0,0,0.0,-0.047947072906913094,0,-0.7531986278542663,1,-0.5154790867908653,1,1.1732440183342847,0,-0.6896140266286305,1
5,2.0,2.0,-0.08604853066468839,1.3393381,103.7638932,1702000.0,0.0,0,1,0,0,0,0,0,0,1,0.0,0.290770757455126,0,0.9715915720469017,0,-0.6625899705605243,1,1.0631668653915904,0,1.1296517856759367,0
6,3.0,2.0,-0.05747309066065989,1.31064045,103.85214926006608,2475900.0,0.0,0,1,0,0,0,0,0,0,0,0.0,-0.4656990636867616,0,-0.6991864086506806,3,-0.9195684763860046,1,0.7475044415118043,0,-0.7197780193715042,2
7,5.0,6.0,0.7122178307915185,1.3423402,103.784489,15645000.0,0.0,1,0,0,0,0,0,0,0,1,0.0,1.9900052064380225,0,-0.1068524047180248,0,0.5422295458821258,0,2.4941698536466204,0,-0.010924189913973223,0
8,1.0,1.0,-0.08523630885578835,1.3155347,103.825684432334,1312500.0,8.0,0,1,0,0,0,0,0,0,1,0.0,0.1035350678938878,0,-0.5119440487449171,0,0.67444312496625,0,-0.1120686204377668,0,0.5263719308184636,0
9,2.0,1.0,-0.09483529387006148,1.310429,103.80282102340084,1802500.0,0.0,0,1,0,0,0,0,0,0,1,0.0,-0.41206874054610526,0,-0.08524751703659053,0,0.9053513475920436,0,0.10322934046485646,0,0.08333828740750682,0
